Designator,Mid X,Mid Y,Rotation,Layer
C1,10.44,-1.4,0.0,bottom
C2,8.69,-4.3,270.0,top
C3,8.7,-8.21,90.0,top
J1,26.82,-10.758332,180.0,top
J10,30.58,-8.208332,0.0,top
J2,2.794,-1.27,0.0,top
J3,34.59,-11.35,180.0,top
J4,30.58,-1.95,0.0,top
J5,26.82,-1.95,0.0,top
J6,22.966666,-1.95,0.0,top
J7,19.17,-1.95,0.0,top
J8,22.966666,-8.208332,0.0,top
J9,19.16,-8.208332,0.0,top
R1,28.71,-9.82,90.0,bottom
R2,15.59,-1.62,0.0,bottom
R3,32.58,-3.58,270.0,bottom
R4,28.71,-3.57,270.0,bottom
R5,24.88,-3.58,270.0,bottom
R6,21.07,-3.58,270.0,bottom
R7,24.88,-9.83,270.0,bottom
R8,21.07,-9.83,270.0,bottom
R9,32.58,-9.83,270.0,bottom
U1,12.065,-6.35,270.0,bottom
U2,13.41,-5.71,270.0,top
USB_2_Out1,38.31,-1.2,0.0,top
